applicant_id,monthly_income_aed,family_size,employment_status,years_employment,total_liabilities_aed,total_assets_aed,credit_score,income_per_capita,debt_to_asset_ratio,eligibility_label
APP0045,6343.0,2,Unemployed,4,41765.0,48057.0,530,3172.0,0.87,Approved
APP0046,16147.0,5,Part-time,9,10809.0,1906.0,864,3229.0,5.67,Approved
APP0047,6892.0,7,Unemployed,3,31797.0,146462.0,620,985.0,0.22,Approved
APP0048,5267.0,2,Employed,4,57832.0,39892.0,532,2634.0,1.45,Approved
APP0049,5577.0,4,Unemployed,9,35774.0,74905.0,736,1394.0,0.48,Approved
APP0050,8208.0,2,Employed,10,32987.0,96198.0,832,4104.0,0.34,Declined
APP0051,3544.0,5,Employed,20,13014.0,126382.0,702,709.0,0.1,Approved
APP0052,4527.0,2,Part-time,23,13223.0,62742.0,352,2264.0,0.21,Approved
APP0053,11438.0,4,Employed,9,24724.0,101390.0,612,2860.0,0.24,Declined
APP0054,8062.0,1,Employed,7,14615.0,187121.0,580,8062.0,0.08,Declined
APP0055,6938.0,7,Employed,1,49665.0,10403.0,330,991.0,4.77,Approved
APP0056,11784.0,5,Employed,22,21797.0,21411.0,636,2357.0,1.02,Declined
APP0057,3867.0,1,Employed,7,13901.0,28187.0,482,3867.0,0.49,Approved
APP0058,5158.0,1,Self-Employed,15,50520.0,53697.0,322,5158.0,0.94,Declined
APP0059,7897.0,1,Employed,21,9239.0,143707.0,843,7897.0,0.06,Approved
APP0060,7722.0,3,Part-time,4,24535.0,169375.0,745,2574.0,0.14,Declined
APP0061,2039.0,7,Unemployed,24,15493.0,71372.0,373,291.0,0.22,Approved
APP0062,4814.0,6,Employed,2,106328.0,71538.0,309,802.0,1.49,Approved
APP0063,5813.0,7,Employed,11,24565.0,209171.0,783,830.0,0.12,Approved
APP0064,8452.0,3,Employed,12,11580.0,97328.0,755,2817.0,0.12,Declined
APP0065,7705.0,6,Self-Employed,12,25736.0,61214.0,865,1284.0,0.42,Approved
APP0066,6177.0,7,Employed,9,21691.0,155991.0,863,882.0,0.14,Approved
APP0067,1175.0,1,Self-Employed,3,13337.0,144327.0,459,1175.0,0.09,Approved
APP0068,6384.0,5,Employed,8,49455.0,111544.0,313,1277.0,0.44,Approved
APP0069,6770.0,6,Self-Employed,21,39117.0,51528.0,477,1128.0,0.76,Approved
APP0070,24573.0,4,Employed,23,30724.0,34862.0,711,6143.0,0.88,Declined
APP0071,5687.0,4,Employed,22,12505.0,37981.0,352,1422.0,0.33,Approved
APP0072,7925.0,2,Part-time,1,79065.0,40010.0,707,3962.0,1.98,Approved
APP0073,12965.0,6,Unemployed,18,32591.0,36831.0,321,2161.0,0.88,Approved
APP0074,10418.0,5,Employed,0,15374.0,53779.0,329,2084.0,0.29,Declined
APP0075,14871.0,3,Part-time,24,52574.0,82432.0,559,4957.0,0.64,Declined
APP0076,2067.0,1,Employed,6,27284.0,90068.0,504,2067.0,0.3,Approved
APP0077,3034.0,2,Part-time,16,48282.0,29571.0,358,1517.0,1.63,Approved
APP0078,4306.0,4,Unemployed,2,33605.0,100321.0,770,1076.0,0.33,Approved
APP0079,1776.0,3,Employed,19,95554.0,89099.0,765,592.0,1.07,Approved
APP0080,6807.0,3,Employed,19,9872.0,76460.0,311,2269.0,0.13,Approved
APP0081,3227.0,1,Employed,20,16087.0,50109.0,589,3227.0,0.32,Declined
APP0082,16028.0,6,Self-Employed,2,137591.0,30243.0,653,2671.0,4.55,Approved
APP0083,3618.0,4,Self-Employed,2,23175.0,125557.0,374,904.0,0.18,Approved
APP0084,5179.0,5,Employed,16,8902.0,88604.0,860,1036.0,0.1,Approved
APP0085,10795.0,3,Employed,6,37597.0,107868.0,890,3598.0,0.35,Declined
APP0086,2439.0,1,Unemployed,13,52639.0,58710.0,740,2439.0,0.9,Approved
APP0087,1672.0,5,Part-time,16,22916.0,53023.0,540,334.0,0.43,Approved
APP0088,7350.0,6,Self-Employed,17,3488.0,167779.0,453,1225.0,0.02,Approved
APP0089,7716.0,4,Employed,12,11290.0,65675.0,395,1929.0,0.17,Approved
APP0090,10600.0,6,Employed,19,5313.0,93557.0,593,1767.0,0.06,Approved
APP0091,9088.0,3,Employed,19,87250.0,78111.0,508,3029.0,1.12,Approved
APP0092,7902.0,5,Part-time,20,4837.0,40458.0,642,1580.0,0.12,Approved
APP0093,3936.0,5,Employed,17,15468.0,57612.0,387,787.0,0.27,Approved
APP0094,7580.0,5,Self-Employed,3,36804.0,292063.0,689,1516.0,0.13,Approved
APP0095,7882.0,3,Employed,0,7732.0,45359.0,624,2627.0,0.17,Declined
APP0096,3828.0,3,Self-Employed,17,33612.0,88186.0,456,1276.0,0.38,Approved
APP0097,18710.0,6,Unemployed,0,13935.0,48147.0,876,3118.0,0.29,Approved
APP0098,8825.0,2,Unemployed,12,31809.0,79590.0,436,4412.0,0.4,Approved
APP0099,3076.0,6,Employed,19,19769.0,45433.0,727,513.0,0.44,Approved
APP0100,10632.0,4,Employed,19,22086.0,54536.0,751,2658.0,0.4,Declined
APP0101,11750.0,1,Employed,22,51733.0,20503.0,440,11750.0,2.52,Declined
APP0102,8498.0,5,Part-time,9,8635.0,89617.0,382,1700.0,0.1,Approved
APP0103,5475.0,2,Part-time,10,31705.0,62163.0,476,2738.0,0.51,Approved
APP0104,3707.0,1,Self-Employed,8,44118.0,120896.0,497,3707.0,0.36,Approved
APP0105,6165.0,2,Self-Employed,8,7804.0,79455.0,867,3082.0,0.1,Declined
APP0106,8126.0,7,Unemployed,4,5353.0,44287.0,720,1161.0,0.12,Approved
APP0107,6558.0,6,Employed,0,20087.0,34968.0,700,1093.0,0.57,Declined
APP0108,15263.0,3,Part-time,16,30252.0,82985.0,770,5088.0,0.36,Declined
APP0109,9673.0,5,Employed,21,39789.0,199659.0,517,1935.0,0.2,Approved
APP0110,3402.0,6,Employed,1,6572.0,51777.0,474,567.0,0.13,Approved
APP0111,2825.0,1,Self-Employed,23,45253.0,12218.0,322,2825.0,3.7,Approved
APP0112,8872.0,7,Employed,12,56932.0,96968.0,534,1267.0,0.59,Approved
APP0113,5562.0,7,Employed,8,32701.0,185962.0,312,795.0,0.18,Approved
APP0114,10190.0,7,Unemployed,3,59526.0,123003.0,400,1456.0,0.48,Approved
APP0115,8822.0,1,Employed,4,19189.0,26811.0,835,8822.0,0.72,Declined
APP0116,6184.0,1,Self-Employed,10,15777.0,91166.0,822,6184.0,0.17,Declined
APP0117,3432.0,1,Employed,23,22550.0,149574.0,751,3432.0,0.15,Declined
APP0118,1843.0,1,Employed,18,9837.0,58659.0,730,1843.0,0.17,Approved
APP0119,7492.0,7,Employed,20,15244.0,52800.0,832,1070.0,0.29,Approved
APP0120,2405.0,7,Employed,2,25180.0,54280.0,592,344.0,0.46,Approved
APP0121,3326.0,2,Unemployed,11,27797.0,71106.0,400,1663.0,0.39,Approved
APP0122,7203.0,6,Employed,18,34827.0,28542.0,801,1200.0,1.22,Approved
APP0123,6760.0,5,Self-Employed,18,2395.0,96317.0,603,1352.0,0.02,Declined
APP0124,2646.0,3,Employed,12,135952.0,99895.0,839,882.0,1.36,Declined
APP0125,12552.0,7,Unemployed,6,10875.0,101640.0,852,1793.0,0.11,Approved
APP0126,12352.0,3,Part-time,14,39667.0,80461.0,654,4117.0,0.49,Declined
APP0127,9050.0,6,Unemployed,22,30747.0,27734.0,602,1508.0,1.11,Approved
APP0128,9043.0,6,Employed,6,14398.0,67919.0,795,1507.0,0.21,Declined
APP0129,9050.0,3,Employed,7,37165.0,260910.0,526,3017.0,0.14,Approved
APP0130,11688.0,7,Employed,4,11113.0,98642.0,535,1670.0,0.11,Approved
APP0131,9822.0,3,Self-Employed,20,24407.0,41408.0,754,3274.0,0.59,Declined
APP0132,3650.0,2,Employed,13,87324.0,128067.0,312,1825.0,0.68,Approved
APP0133,5509.0,4,Employed,3,17275.0,262981.0,509,1377.0,0.07,Approved
APP0134,23015.0,7,Self-Employed,22,26330.0,108089.0,696,3288.0,0.24,Declined
APP0135,1250.0,7,Employed,9,9409.0,73106.0,399,179.0,0.13,Approved
APP0136,4631.0,5,Unemployed,19,40306.0,199254.0,330,926.0,0.2,Approved
APP0137,12592.0,1,Employed,14,12837.0,55126.0,827,12592.0,0.23,Declined
APP0138,3825.0,4,Employed,17,31195.0,165238.0,628,956.0,0.19,Approved
APP0139,9987.0,6,Unemployed,19,49953.0,51911.0,465,1664.0,0.96,Approved
APP0140,6703.0,7,Employed,12,20424.0,59534.0,758,958.0,0.34,Approved
APP0141,4026.0,3,Unemployed,7,37600.0,142979.0,399,1342.0,0.26,Approved
APP0142,1031.0,4,Employed,8,32537.0,193662.0,472,258.0,0.17,Approved
APP0143,7359.0,5,Employed,15,51248.0,76859.0,461,1472.0,0.67,Approved
APP0144,3591.0,6,Unemployed,18,37741.0,190069.0,562,598.0,0.2,Approved
APP0145,6006.0,1,Unemployed,15,59217.0,109760.0,573,6006.0,0.54,Approved
APP0146,8995.0,1,Unemployed,6,20272.0,42031.0,302,8995.0,0.48,Declined
APP0147,11122.0,5,Employed,13,7520.0,59981.0,327,2224.0,0.13,Approved
APP0148,4620.0,5,Self-Employed,13,4767.0,121962.0,625,924.0,0.04,Declined
APP0149,4021.0,3,Employed,24,5375.0,207431.0,448,1340.0,0.03,Approved
APP0150,2371.0,7,Employed,3,19571.0,167269.0,839,339.0,0.12,Approved
APP0151,11454.0,1,Part-time,14,28432.0,168932.0,787,11454.0,0.17,Declined
APP0152,21096.0,6,Employed,2,13745.0,23960.0,737,3516.0,0.57,Declined
APP0153,12208.0,4,Part-time,4,13969.0,139313.0,364,3052.0,0.1,Approved
APP0154,13853.0,6,Employed,0,17195.0,134269.0,655,2309.0,0.13,Declined
APP0155,3849.0,2,Employed,2,24616.0,102204.0,832,1924.0,0.24,Approved
APP0156,8663.0,2,Self-Employed,14,64735.0,132760.0,551,4332.0,0.49,Declined
APP0157,10556.0,5,Part-time,23,3701.0,14619.0,534,2111.0,0.25,Approved
APP0158,122.0,3,Unemployed,7,40615.0,5831.0,526,41.0,6.96,Approved
APP0159,2945.0,2,Unemployed,3,37882.0,100750.0,824,1472.0,0.38,Approved
APP0160,16702.0,1,Unemployed,1,20419.0,79305.0,612,16702.0,0.26,Declined
APP0161,2009.0,6,Unemployed,23,33387.0,69817.0,348,335.0,0.48,Approved
APP0162,15168.0,6,Unemployed,23,21518.0,113624.0,417,2528.0,0.19,Approved
APP0163,1998.0,5,Employed,9,37312.0,96634.0,353,400.0,0.39,Approved
APP0164,3058.0,7,Employed,3,11647.0,105515.0,864,437.0,0.11,Approved
APP0165,8762.0,7,Employed,2,10373.0,154865.0,343,1252.0,0.07,Approved
APP0166,6813.0,4,Part-time,1,3245.0,53746.0,352,1703.0,0.06,Approved
APP0167,4943.0,5,Part-time,24,33499.0,107226.0,885,989.0,0.31,Approved
APP0168,16320.0,4,Employed,16,15042.0,48213.0,857,4080.0,0.31,Declined
APP0169,2423.0,7,Unemployed,22,5142.0,11266.0,824,346.0,0.46,Approved
APP0170,5853.0,5,Part-time,20,10536.0,65635.0,401,1171.0,0.16,Approved
APP0171,9459.0,5,Employed,23,37261.0,171158.0,697,1892.0,0.22,Approved
APP0172,7821.0,5,Self-Employed,19,28238.0,39081.0,437,1564.0,0.72,Approved
APP0173,4120.0,7,Part-time,22,10888.0,114151.0,686,589.0,0.1,Approved
APP0174,4229.0,4,Employed,12,62999.0,155889.0,410,1057.0,0.4,Approved
APP0175,11020.0,4,Unemployed,4,23573.0,140287.0,316,2755.0,0.17,Approved
APP0176,11337.0,5,Employed,20,35298.0,48054.0,481,2267.0,0.73,Approved
APP0177,7954.0,2,Part-time,8,27794.0,44375.0,835,3977.0,0.63,Approved
APP0178,3483.0,3,Part-time,24,19895.0,85683.0,840,1161.0,0.23,Approved
APP0179,4327.0,7,Part-time,24,33602.0,101648.0,470,618.0,0.33,Approved
APP0180,6408.0,3,Employed,21,54518.0,132017.0,708,2136.0,0.41,Declined
APP0181,7032.0,3,Part-time,5,19614.0,133015.0,677,2344.0,0.15,Declined
APP0182,9228.0,4,Unemployed,4,42440.0,405038.0,487,2307.0,0.1,Declined
APP0183,5647.0,4,Employed,24,13736.0,219292.0,529,1412.0,0.06,Approved
APP0184,10869.0,2,Unemployed,9,79383.0,62614.0,418,5434.0,1.27,Approved
APP0185,10795.0,3,Employed,7,12147.0,306471.0,455,3598.0,0.04,Declined
APP0186,14137.0,3,Self-Employed,6,97470.0,30156.0,764,4712.0,3.23,Approved
APP0187,6593.0,5,Employed,6,7875.0,33506.0,403,1319.0,0.24,Approved
APP0188,8039.0,4,Employed,5,18751.0,144770.0,801,2010.0,0.13,Declined
APP0189,5942.0,3,Employed,20,34851.0,67844.0,474,1981.0,0.51,Approved
APP0190,3515.0,6,Unemployed,19,57002.0,219910.0,720,586.0,0.26,Declined
APP0191,20809.0,2,Employed,2,71455.0,129335.0,433,10404.0,0.55,Declined
APP0192,13073.0,6,Unemployed,18,65251.0,76705.0,690,2179.0,0.85,Approved
APP0193,10660.0,6,Employed,21,33917.0,71991.0,800,1777.0,0.47,Approved
APP0194,6446.0,7,Employed,14,12828.0,69913.0,332,921.0,0.18,Approved
APP0195,3288.0,7,Self-Employed,3,49075.0,8437.0,354,470.0,5.82,Approved
APP0196,11827.0,2,Unemployed,11,53054.0,37909.0,818,5914.0,1.4,Approved
APP0197,5872.0,6,Employed,5,31332.0,47161.0,311,979.0,0.66,Approved
APP0198,8499.0,3,Self-Employed,18,16017.0,174767.0,827,2833.0,0.09,Declined
APP0199,4315.0,4,Part-time,3,9168.0,51337.0,854,1079.0,0.18,Approved
APP0200,7643.0,2,Self-Employed,14,13601.0,110142.0,672,3822.0,0.12,Declined
APP0201,4509.0,5,Employed,8,12994.0,72217.0,783,902.0,0.18,Approved
APP0202,4634.0,6,Employed,4,25654.0,38219.0,527,772.0,0.67,Approved
APP0203,7579.0,2,Part-time,12,50754.0,101906.0,606,3790.0,0.5,Declined
APP0204,1973.0,1,Employed,22,27161.0,82141.0,756,1973.0,0.33,Approved
APP0205,2055.0,1,Part-time,17,8474.0,173887.0,459,2055.0,0.05,Approved
APP0206,3816.0,7,Self-Employed,4,41018.0,60134.0,630,545.0,0.68,Approved
APP0207,5602.0,4,Part-time,24,84814.0,47894.0,524,1400.0,1.77,Approved
APP0208,11071.0,3,Unemployed,15,26914.0,149340.0,803,3690.0,0.18,Approved
APP0209,5819.0,4,Part-time,18,13997.0,72159.0,755,1455.0,0.19,Approved
APP0210,6419.0,4,Employed,13,10304.0,158066.0,344,1605.0,0.07,Approved
APP0211,5307.0,4,Unemployed,24,39277.0,52997.0,513,1327.0,0.74,Approved
APP0212,8032.0,4,Employed,15,69909.0,93039.0,358,2008.0,0.75,Approved
APP0213,3489.0,5,Employed,14,19517.0,49616.0,494,698.0,0.39,Approved
APP0214,6031.0,5,Self-Employed,21,16021.0,40327.0,788,1206.0,0.4,Declined
APP0215,8440.0,7,Part-time,3,26440.0,6607.0,456,1206.0,4.0,Approved
APP0216,7541.0,2,Part-time,6,43353.0,225168.0,525,3770.0,0.19,Approved
APP0217,6556.0,1,Unemployed,15,13118.0,55491.0,711,6556.0,0.24,Approved
APP0218,6609.0,4,Employed,23,29623.0,120938.0,504,1652.0,0.24,Approved
APP0219,8956.0,7,Employed,21,36079.0,72934.0,378,1279.0,0.49,Approved
APP0220,21398.0,2,Unemployed,20,38059.0,184646.0,423,10699.0,0.21,Declined
APP0221,3666.0,1,Employed,21,9471.0,14038.0,770,3666.0,0.67,Declined
APP0222,21758.0,6,Employed,20,11425.0,97402.0,517,3626.0,0.12,Approved
APP0223,3544.0,3,Employed,7,26727.0,142549.0,815,1181.0,0.19,Approved
APP0224,909.0,5,Employed,16,41372.0,87157.0,403,182.0,0.47,Approved
APP0225,4444.0,6,Employed,15,94293.0,43910.0,692,741.0,2.15,Approved
APP0226,8129.0,1,Employed,22,8867.0,14777.0,733,8129.0,0.6,Declined
APP0227,18803.0,6,Employed,9,30189.0,48222.0,630,3134.0,0.63,Declined
APP0228,3285.0,3,Employed,9,24970.0,10051.0,442,1095.0,2.48,Approved
APP0229,8923.0,7,Part-time,1,17432.0,140136.0,839,1275.0,0.12,Approved
APP0230,2239.0,1,Employed,8,55069.0,117582.0,577,2239.0,0.47,Approved
APP0231,18405.0,6,Employed,16,37702.0,150701.0,532,3068.0,0.25,Approved
APP0232,13223.0,5,Unemployed,10,38501.0,36049.0,828,2645.0,1.07,Approved
APP0233,4641.0,5,Employed,9,8330.0,30766.0,870,928.0,0.27,Approved
APP0234,14499.0,2,Part-time,21,18768.0,122279.0,389,7250.0,0.15,Declined
APP0235,6007.0,6,Unemployed,24,25991.0,119026.0,791,1001.0,0.22,Approved
APP0236,13641.0,4,Employed,16,28449.0,12424.0,498,3410.0,2.29,Approved
APP0237,6523.0,6,Employed,3,109555.0,46119.0,661,1087.0,2.38,Approved
APP0238,6710.0,7,Part-time,15,19627.0,233310.0,740,959.0,0.08,Approved
APP0239,4708.0,1,Part-time,19,1052.0,144462.0,325,4708.0,0.01,Declined
APP0240,9657.0,1,Employed,14,26259.0,68031.0,324,9657.0,0.39,Declined
APP0241,7046.0,7,Self-Employed,24,36178.0,26953.0,693,1007.0,1.34,Approved
APP0242,9047.0,6,Employed,20,26060.0,35296.0,806,1508.0,0.74,Approved
APP0243,1806.0,7,Part-time,4,411.0,58537.0,600,258.0,0.01,Declined
APP0244,13932.0,3,Employed,5,31120.0,21363.0,638,4644.0,1.46,Declined
APP0245,16037.0,7,Part-time,16,36986.0,188750.0,566,2291.0,0.2,Approved
APP0246,7024.0,5,Self-Employed,0,7481.0,177513.0,760,1405.0,0.04,Approved
APP0247,20507.0,7,Self-Employed,24,13895.0,27908.0,755,2930.0,0.5,Declined
APP0248,17741.0,1,Self-Employed,18,23806.0,274750.0,659,17741.0,0.09,Declined
APP0249,9787.0,5,Employed,3,15596.0,56923.0,367,1957.0,0.27,Approved
APP0250,14610.0,1,Employed,16,17857.0,83688.0,711,14610.0,0.21,Declined
APP0251,12384.0,2,Employed,8,31326.0,56244.0,790,6192.0,0.56,Declined
APP0252,1416.0,4,Employed,23,14705.0,30647.0,348,354.0,0.48,Approved
APP0253,5381.0,1,Unemployed,1,5505.0,62092.0,863,5381.0,0.09,Approved
APP0254,10211.0,5,Employed,7,47159.0,12708.0,401,2042.0,3.71,Approved
APP0255,16670.0,2,Employed,14,9743.0,62455.0,515,8335.0,0.16,Declined
APP0256,2112.0,1,Part-time,6,21168.0,77447.0,737,2112.0,0.27,Declined
APP0257,1507.0,3,Part-time,5,16410.0,99005.0,868,502.0,0.17,Approved
APP0258,6258.0,7,Part-time,0,8488.0,18222.0,858,894.0,0.47,Approved
APP0259,978.0,4,Part-time,14,46167.0,19502.0,458,244.0,2.37,Approved
APP0260,6114.0,1,Employed,22,42855.0,95734.0,788,6114.0,0.45,Declined
APP0261,8257.0,2,Employed,6,18158.0,28005.0,541,4128.0,0.65,Declined
APP0262,3170.0,3,Unemployed,24,24707.0,69972.0,304,1057.0,0.35,Approved
APP0263,6227.0,6,Unemployed,16,27168.0,190359.0,895,1038.0,0.14,Approved
APP0264,11696.0,2,Employed,1,8992.0,25549.0,660,5848.0,0.35,Declined
APP0265,4428.0,7,Unemployed,8,10268.0,39038.0,758,633.0,0.26,Approved
APP0266,3590.0,2,Employed,8,24406.0,162073.0,547,1795.0,0.15,Approved
APP0267,6039.0,3,Employed,12,8283.0,12326.0,865,2013.0,0.67,Approved
APP0268,2916.0,2,Self-Employed,5,24232.0,70772.0,721,1458.0,0.34,Approved
APP0269,19609.0,3,Self-Employed,5,1666.0,103628.0,314,6536.0,0.02,Declined
APP0270,6657.0,1,Self-Employed,19,17336.0,155921.0,872,6657.0,0.11,Declined
APP0271,3874.0,3,Employed,19,30933.0,57635.0,421,1291.0,0.54,Approved
APP0272,7491.0,3,Part-time,20,29229.0,25129.0,576,2497.0,1.16,Approved
APP0273,6016.0,4,Employed,2,54287.0,99872.0,857,1504.0,0.54,Approved
APP0274,5572.0,3,Employed,16,8971.0,101701.0,752,1857.0,0.09,Approved
APP0275,4428.0,3,Part-time,16,23328.0,257635.0,689,1476.0,0.09,Approved
APP0276,4274.0,6,Part-time,11,47423.0,62095.0,593,712.0,0.76,Declined
APP0277,1842.0,1,Part-time,15,30747.0,102754.0,873,1842.0,0.3,Approved
APP0278,14597.0,7,Unemployed,14,43898.0,75545.0,897,2085.0,0.58,Approved
APP0279,9393.0,4,Unemployed,12,8299.0,28246.0,745,2348.0,0.29,Approved
APP0280,7974.0,6,Self-Employed,22,26234.0,100921.0,509,1329.0,0.26,Approved
APP0281,5951.0,5,Employed,0,20823.0,170718.0,889,1190.0,0.12,Approved
APP0282,3128.0,1,Employed,16,26785.0,131829.0,601,3128.0,0.2,Declined
APP0283,3699.0,1,Employed,2,12457.0,44737.0,522,3699.0,0.28,Approved
APP0284,2025.0,5,Employed,14,59529.0,67107.0,302,405.0,0.89,Approved
APP0285,4042.0,7,Unemployed,3,40623.0,186603.0,817,577.0,0.22,Approved
APP0286,2798.0,3,Employed,3,54792.0,63423.0,392,933.0,0.86,Approved
APP0287,17159.0,6,Employed,17,30880.0,183510.0,819,2860.0,0.17,Declined
APP0288,11222.0,2,Employed,16,13645.0,70820.0,727,5611.0,0.19,Declined
APP0289,6848.0,4,Unemployed,18,38696.0,74904.0,792,1712.0,0.52,Approved
APP0290,3390.0,2,Employed,10,59956.0,166349.0,534,1695.0,0.36,Approved
APP0291,2911.0,5,Part-time,19,30850.0,284248.0,460,582.0,0.11,Approved
APP0292,5695.0,1,Employed,2,11018.0,68701.0,630,5695.0,0.16,Declined
APP0293,11508.0,7,Employed,7,15319.0,59573.0,632,1644.0,0.26,Approved
APP0294,2074.0,1,Self-Employed,13,25755.0,43814.0,349,2074.0,0.59,Approved
APP0295,9316.0,4,Unemployed,0,65109.0,37908.0,822,2329.0,1.72,Approved
APP0296,4029.0,1,Employed,13,78536.0,46522.0,791,4029.0,1.69,Declined
APP0297,4577.0,1,Unemployed,1,11844.0,53321.0,881,4577.0,0.22,Approved
APP0298,6717.0,4,Self-Employed,22,32621.0,151759.0,571,1679.0,0.21,Approved
APP0299,3478.0,6,Employed,3,15160.0,121196.0,879,580.0,0.13,Approved
APP0300,5501.0,6,Part-time,23,7491.0,138591.0,551,917.0,0.05,Declined
